id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,latency,response_time
204,COMP_M,app12,Edge12,ms_12,203,229,112,0,None,0.3,101.4327700005789,101.7327700005789,100.0,101.4327700005789,1.4327700005788984,1.7327700005788955
205,COMP_M,app12,Edge12,ms_12,204,229,112,0,None,0.3,102.74469000086835,103.04469000086834,100.0,102.74469000086835,2.7446900008683457,3.044690000868343
191,COMP_M,app11,Edge11,ms_11,190,228,111,0,None,0.3,102.77844000057891,103.07844000057891,100.0,102.77844000057891,2.778440000578911,3.078440000578908
166,COMP_M,app10,Edge10,ms_10,165,227,110,0,None,0.3,103.6872200005789,103.9872200005789,100.0,103.6872200005789,3.687220000578904,3.987220000578901
206,COMP_M,app12,Edge12,ms_12,205,229,112,0,None,0.3,104.0566100011578,104.35661000115779,100.0,104.0566100011578,4.056610001157793,4.35661000115779
192,COMP_M,app11,Edge11,ms_11,191,228,111,0,None,0.3,105.04406000086837,105.34406000086837,100.0,105.04406000086837,5.04406000086837,5.344060000868367
207,COMP_M,app12,Edge12,ms_12,206,229,112,0,None,0.3,105.36853000144724,105.66853000144724,100.0,105.36853000144724,5.36853000144724,5.6685300014472375
208,COMP_M,app12,Edge12,ms_12,207,229,112,0,None,0.3,106.68045000173669,106.98045000173668,100.0,106.68045000173669,6.680450001736688,6.980450001736685
167,COMP_M,app10,Edge10,ms_10,166,227,110,0,None,0.3,106.72111000086835,107.02111000086835,100.0,106.72111000086835,6.72111000086835,7.021110000868347
193,COMP_M,app11,Edge11,ms_11,192,228,111,0,None,0.3,107.30968000115783,107.60968000115783,100.0,107.30968000115783,7.30968000115783,7.609680001157827
209,COMP_M,app12,Edge12,ms_12,208,229,112,0,None,0.3,107.99237000202614,108.29237000202613,100.0,107.99237000202614,7.992370002026135,8.292370002026132
210,COMP_M,app12,Edge12,ms_12,209,229,112,0,None,0.3,109.30429000231558,109.60429000231558,100.0,109.30429000231558,9.304290002315582,9.60429000231558
58,COMP_M,app5,Edge5,ms_5,57,222,105,0,None,0.3,109.57530000144729,109.87530000144729,100.0,109.57530000144729,9.575300001447289,9.875300001447286
168,COMP_M,app10,Edge10,ms_10,167,227,110,0,None,0.3,109.7550000011578,110.0550000011578,100.0,109.7550000011578,9.755000001157796,10.055000001157794
211,COMP_M,app12,Edge12,ms_12,210,229,112,0,None,0.3,110.61621000260503,110.91621000260503,100.0,110.61621000260503,10.61621000260503,10.916210002605027
194,COMP_M,app11,Edge11,ms_11,193,228,111,0,None,0.3,111.84092000173675,112.14092000173675,100.0,111.84092000173675,11.840920001736748,12.140920001736745
212,COMP_M,app12,Edge12,ms_12,211,229,112,0,None,0.3,111.92813000289448,112.22813000289447,100.0,111.92813000289448,11.928130002894477,12.228130002894474
169,COMP_M,app10,Edge10,ms_10,168,227,110,0,None,0.3,112.78889000144724,113.08889000144724,100.0,112.78889000144724,12.788890001447243,13.08889000144724
213,COMP_M,app12,Edge12,ms_12,212,229,112,0,None,0.3,113.24005000318392,113.54005000318392,100.0,113.24005000318392,13.240050003183924,13.540050003183921
195,COMP_M,app11,Edge11,ms_11,194,228,111,0,None,0.3,114.10654000202621,114.4065400020262,100.0,114.10654000202621,14.106540002026208,14.406540002026205
214,COMP_M,app12,Edge12,ms_12,213,229,112,0,None,0.3,114.55197000347337,114.85197000347337,100.0,114.55197000347337,14.551970003473372,14.851970003473369
151,COMP_M,app9,Edge9,ms_9,150,226,109,0,None,0.3,115.8227800017367,116.1227800017367,100.0,115.8227800017367,15.822780001736703,16.1227800017367
215,COMP_M,app12,Edge12,ms_12,214,229,112,0,None,0.3,115.86389000376282,116.16389000376282,100.0,115.86389000376282,15.863890003762819,16.163890003762816
196,COMP_M,app11,Edge11,ms_11,195,228,111,0,None,0.3,116.37216000231567,116.67216000231566,100.0,116.37216000231567,16.372160002315667,16.672160002315664
216,COMP_M,app12,Edge12,ms_12,215,229,112,0,None,0.3,117.17581000405227,117.47581000405226,100.0,117.17581000405227,17.175810004052266,17.475810004052263
